"Notes","County","County Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Autauga County, AL","01001",30,166158,18.0551,17.3576
,"Baldwin County, AL","01003",125,612383,20.4121,20.0183
,"Barbour County, AL","01005",11,79341,Unreliable,Unreliable
,"Bibb County, AL","01007",15,67732,Unreliable,Unreliable
,"Blount County, AL","01009",29,173096,16.7537,16.6831
,"Bullock County, AL","01011",Suppressed,31822,Suppressed,Suppressed
,"Butler County, AL","01013",Suppressed,60448,Suppressed,Suppressed
,"Calhoun County, AL","01015",64,346147,18.4893,17.6229
,"Chambers County, AL","01017",22,102042,21.5597,21.3271
,"Cherokee County, AL","01019",16,77621,Unreliable,Unreliable
,"Chilton County, AL","01021",21,131815,15.9314,15.7816
,"Choctaw County, AL","01023",Suppressed,39486,Suppressed,Suppressed
,"Clarke County, AL","01025",Suppressed,74012,Suppressed,Suppressed
,"Clay County, AL","01027",Suppressed,40599,Suppressed,Suppressed
,"Cleburne County, AL","01029",Suppressed,45022,Suppressed,Suppressed
,"Coffee County, AL","01031",27,153346,17.6072,17.4673
,"Colbert County, AL","01033",29,163113,17.7791,16.6446
,"Conecuh County, AL","01035",Suppressed,37737,Suppressed,Suppressed
,"Coosa County, AL","01037",Suppressed,32191,Suppressed,Suppressed
,"Covington County, AL","01039",14,113207,Unreliable,Unreliable
,"Crenshaw County, AL","01041",Suppressed,41853,Suppressed,Suppressed
,"Cullman County, AL","01043",58,245765,23.5998,23.5218
,"Dale County, AL","01045",18,148275,Unreliable,Unreliable
,"Dallas County, AL","01047",13,122850,Unreliable,Unreliable
,"DeKalb County, AL","01049",32,213095,15.0168,15.4991
,"Elmore County, AL","01051",54,244244,22.1090,21.6354
,"Escambia County, AL","01053",22,113250,19.4260,18.1331
,"Etowah County, AL","01055",47,309152,15.2029,14.9657
,"Fayette County, AL","01057",16,50179,Unreliable,Unreliable
,"Franklin County, AL","01059",12,94925,Unreliable,Unreliable
,"Geneva County, AL","01061",12,80103,Unreliable,Unreliable
,"Greene County, AL","01063",Suppressed,25454,Suppressed,Suppressed
,"Hale County, AL","01065",Suppressed,45204,Suppressed,Suppressed
,"Henry County, AL","01067",Suppressed,51575,Suppressed,Suppressed
,"Houston County, AL","01069",43,312422,13.7634,14.1323
,"Jackson County, AL","01071",40,157222,25.4417,23.9719
,"Jefferson County, AL","01073",255,1980681,12.8744,12.3133
,"Lamar County, AL","01075",Suppressed,41890,Suppressed,Suppressed
,"Lauderdale County, AL","01077",44,278010,15.8268,13.7353
,"Lawrence County, AL","01079",14,99836,Unreliable,Unreliable
,"Lee County, AL","01081",54,470239,11.4835,11.5308
,"Limestone County, AL","01083",35,275203,12.7179,12.2584
,"Lowndes County, AL","01085",Suppressed,31396,Suppressed,Suppressed
,"Macon County, AL","01087",Suppressed,57493,Suppressed,Suppressed
,"Madison County, AL","01089",181,1060355,17.0698,16.6636
,"Marengo County, AL","01091",Suppressed,59811,Suppressed,Suppressed
,"Marion County, AL","01093",15,90437,Unreliable,Unreliable
,"Marshall County, AL","01095",50,284518,17.5736,16.9620
,"Mobile County, AL","01097",197,1245354,15.8188,15.8057
,"Monroe County, AL","01099",Suppressed,65150,Suppressed,Suppressed
,"Montgomery County, AL","01101",80,679057,11.7810,11.4885
,"Morgan County, AL","01103",70,358184,19.5430,19.3366
,"Perry County, AL","01105",0,29052,Unreliable,Unreliable
,"Pickens County, AL","01107",Suppressed,61553,Suppressed,Suppressed
,"Pike County, AL","01109",12,99721,Unreliable,Unreliable
,"Randolph County, AL","01111",14,67887,Unreliable,Unreliable
,"Russell County, AL","01113",27,177440,15.2164,14.4288
,"St. Clair County, AL","01115",49,261790,18.7173,18.3986
,"Shelby County, AL","01117",90,625990,14.3772,13.7668
,"Sumter County, AL","01119",Suppressed,39309,Suppressed,Suppressed
,"Talladega County, AL","01121",45,242287,18.5730,17.7887
,"Tallapoosa County, AL","01123",18,122736,Unreliable,Unreliable
,"Tuscaloosa County, AL","01125",63,612290,10.2892,10.6530
,"Walker County, AL","01127",47,195732,24.0124,23.2332
,"Washington County, AL","01129",Suppressed,50394,Suppressed,Suppressed
,"Wilcox County, AL","01131",Suppressed,33143,Suppressed,Suppressed
,"Winston County, AL","01133",10,71832,Unreliable,Unreliable
,"Aleutians East Borough, AK","02013",Suppressed,9997,Suppressed,Suppressed
,"Aleutians West Census Area, AK","02016",Suppressed,17099,Suppressed,Suppressed
,"Anchorage Borough, AK","02020",206,897897,22.9425,22.1122
,"Bethel Census Area, AK","02050",24,53782,44.6246,39.1518
,"Bristol Bay Borough, AK","02060",Suppressed,2747,Suppressed,Suppressed
